Retailer,Retailer ID,Invoice Date,Region,State,City,Product,Price per Unit,Units Sold,Total Sales,Operating Profit,Sales Method,Cost,Profit Margin
Walmart,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Apparel,20.0,425,8500.0,3400.0,Online,5100.0,40.0
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,425,8500.0,2975.0,Online,5525.0,35.0
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,48.0,420,2016.0,1129.0,Outlet,887.0,56.00198412698413
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,39.0,408,1591.0,875.0,Outlet,716.0,54.99685732243872
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,46.0,403,1854.0,1038.0,Outlet,816.0,55.98705501618123
West Gear,1185732,2021-03-10,West,Utah,Salt Lake City,Women's Street Footwear,20.0,400,8000.0,2800.0,In-store,5200.0,35.0
West Gear,1185732,2021-06-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,400,8000.0,3200.0,In-store,4800.0,40.0
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000.0,2800.0,In-store,5200.0,35.0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Men's Athletic Footwear,20.0,400,8000.0,2800.0,In-store,5200.0,35.0
Walmart,1185732,2021-09-16,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,400,8000.0,3200.0,Online,4800.0,40.0
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Women's Street Footwear,15.0,400,6000.0,2400.0,Online,3600.0,40.0
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,47.0,400,1880.0,978.0,Outlet,902.0,52.02127659574468
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,40.0,390,1560.0,811.0,Outlet,749.0,51.98717948717949
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,33.0,388,1280.0,666.0,Outlet,614.0,52.03124999999999
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,34.0,384,1306.0,679.0,Outlet,627.0,51.99081163859112
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,31.0,376,1166.0,559.0,Outlet,607.0,47.94168096054888
Sports Direct,1197831,2021-08-22,South,Alabama,Birmingham,Women's Athletic Footwear,20.0,375,7500.0,4125.0,Outlet,3375.0,55.00000000000001
Foot Locker,1185732,2021-02-18,Midwest,Michigan,Detroit,Women's Street Footwear,20.0,375,7500.0,2625.0,In-store,4875.0,35.0
West Gear,1185732,2021-08-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500.0,3000.0,In-store,4500.0,40.0
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,375,7500.0,3000.0,In-store,4500.0,40.0
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Street Footwear,15.0,375,5625.0,2250.0,Online,3375.0,40.0
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Men's Athletic Footwear,15.0,375,5625.0,1969.0,Online,3656.0,35.004444444444445
West Gear,1197831,2021-01-23,South,Arkansas,Little Rock,Women's Street Footwear,15.0,375,5625.0,2250.0,Online,3375.0,40.0
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,41.0,375,1538.0,800.0,Outlet,738.0,52.015604681404426
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,29.0,374,1085.0,445.0,Outlet,640.0,41.013824884792626
Walmart,1197831,2020-09-01,South,Texas,Houston,Women's Street Footwear,29.0,374,1085.0,445.0,Outlet,640.0,41.013824884792626
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,33.0,372,1228.0,663.0,Outlet,565.0,53.990228013029316
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,44.0,366,1610.0,837.0,Outlet,773.0,51.98757763975155
Walmart,1185732,2020-04-19,Northeast,New York,New York,Men's Street Footwear,56.0,360,2016.0,1250.0,Online,766.0,62.00396825396825
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,37.0,359,1328.0,452.0,Outlet,876.0,34.036144578313255
Walmart,1185732,2020-04-18,Northeast,New York,New York,Women's Apparel,48.0,355,1704.0,511.0,Outlet,1193.0,29.988262910798124
Foot Locker,1185732,2020-01-25,Northeast,New York,New York,Men's Street Footwear,46.0,354,1628.0,1026.0,Online,602.0,63.022113022113025
Foot Locker,1185732,2020-03-15,Northeast,New York,New York,Women's Apparel,47.0,352,1654.0,447.0,Outlet,1207.0,27.02539298669891
Foot Locker,1185732,2021-03-17,Midwest,Missouri,St. Louis,Women's Street Footwear,25.0,350,8750.0,3063.0,In-store,5687.0,35.005714285714284
Foot Locker,1185732,2021-06-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,350,8750.0,3500.0,In-store,5250.0,40.0
Foot Locker,1185732,2021-10-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750.0,3063.0,In-store,5687.0,35.005714285714284
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Men's Athletic Footwear,25.0,350,8750.0,3063.0,In-store,5687.0,35.005714285714284
West Gear,1185732,2021-05-12,West,Utah,Salt Lake City,Women's Street Footwear,25.0,350,8750.0,3063.0,In-store,5687.0,35.005714285714284
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Street Footwear,10.0,350,3500.0,1225.0,In-store,2275.0,35.0
Amazon,1185732,2021-04-10,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,350,8750.0,3500.0,Online,5250.0,40.0
Walmart,1185732,2021-10-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,350,8750.0,3500.0,Online,5250.0,40.0
Sports Direct,1197831,2021-02-21,South,Mississippi,Jackson,Men's Athletic Footwear,25.0,350,8750.0,3063.0,Online,5687.0,35.005714285714284
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Street Footwear,10.0,350,3500.0,1400.0,Online,2100.0,40.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Women's Apparel,25.0,350,8750.0,3500.0,Online,5250.0,40.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Street Footwear,15.0,350,5250.0,2100.0,Online,3150.0,40.0
West Gear,1197831,2021-02-21,South,Oklahoma,Oklahoma City,Women's Apparel,20.0,350,7000.0,2800.0,Online,4200.0,40.0
West Gear,1197831,2021-10-21,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,20.0,350,7000.0,2450.0,Online,4550.0,35.0
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,25.0,350,8750.0,3063.0,Online,5687.0,35.005714285714284
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,350,5250.0,1838.0,Online,3412.0,35.009523809523806
Kohl's,1197831,2021-01-16,South,Oklahoma,Oklahoma City,Women's Apparel,25.0,350,8750.0,3063.0,Online,5687.0,35.005714285714284
West Gear,1185732,2021-02-17,Northeast,West Virginia,Charleston,Women's Apparel,25.0,350,8750.0,3500.0,In-store,5250.0,40.0
Foot Locker,1185732,2020-01-03,Northeast,New York,New York,Women's Street Footwear,32.0,350,1120.0,414.0,Outlet,706.0,36.964285714285715
Foot Locker,1185732,2020-01-24,Northeast,New York,New York,Women's Apparel,36.0,350,1260.0,365.0,Outlet,895.0,28.968253968253972
Walmart,1185732,2020-04-20,Northeast,New York,New York,Men's Athletic Footwear,43.0,350,1505.0,497.0,Outlet,1008.0,33.02325581395349
Walmart,1185732,2020-04-24,Northeast,New York,New York,Women's Apparel,45.0,350,1575.0,473.0,Outlet,1102.0,30.03174603174603
Walmart,1197831,2020-08-23,South,Texas,Houston,Women's Apparel,38.0,350,1330.0,758.0,Outlet,572.0,56.992481203007515
Foot Locker,1185732,2021-01-09,Southeast,Georgia,Atlanta,Men's Street Footwear,26.0,349,907.0,426.0,Outlet,481.0,46.96802646085998
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,46.0,347,1596.0,511.0,Outlet,1085.0,32.01754385964912
West Gear,1185732,2021-11-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,345,6900.0,2415.0,In-store,4485.0,35.0
West Gear,1128299,2021-01-06,West,California,San Francisco,Men's Street Footwear,41.0,341,1398.0,601.0,Outlet,797.0,42.989985693848354
Foot Locker,1185732,2020-03-05,Northeast,New York,New York,Men's Athletic Footwear,41.0,340,1394.0,474.0,Outlet,920.0,34.00286944045911
Walmart,1185732,2020-07-18,Northeast,New York,New York,Women's Apparel,48.0,340,1632.0,490.0,Outlet,1142.0,30.024509803921568
West Gear,1128299,2021-01-12,West,California,San Francisco,Men's Street Footwear,41.0,338,1386.0,527.0,Outlet,859.0,38.02308802308802
Foot Locker,1185732,2020-01-01,Northeast,New York,New York,Men's Street Footwear,47.0,336,1579.0,963.0,Online,616.0,60.9879670677644
Foot Locker,1185732,2020-02-05,Northeast,New York,New York,Women's Apparel,39.0,333,1299.0,351.0,Outlet,948.0,27.02078521939954
Walmart,1185732,2020-05-05,Northeast,New York,New York,Women's Street Footwear,42.0,333,1399.0,559.0,Outlet,840.0,39.95711222301644
Walmart,1197831,2020-10-26,South,Texas,Houston,Men's Street Footwear,32.0,333,1066.0,426.0,Outlet,640.0,39.9624765478424
Walmart,1197831,2020-10-27,South,Texas,Houston,Men's Athletic Footwear,34.0,333,1132.0,476.0,Outlet,656.0,42.04946996466431
West Gear,1128299,2021-02-12,West,California,San Francisco,Men's Athletic Footwear,46.0,332,1527.0,321.0,Outlet,1206.0,21.021611001964637
Sports Direct,1197831,2021-09-24,South,Texas,Dallas,Women's Street Footwear,35.0,332,1162.0,546.0,Outlet,616.0,46.98795180722892
Foot Locker,1185732,2020-01-06,Northeast,New York,New York,Women's Apparel,38.0,330,1254.0,401.0,Outlet,853.0,31.97767145135566
Walmart,1185732,2020-04-26,Northeast,New York,New York,Women's Apparel,50.0,330,1650.0,462.0,Outlet,1188.0,28.000000000000004
Foot Locker,1185732,2021-08-06,Southeast,South Carolina,Charleston,Men's Street Footwear,62.0,326,2021.0,1152.0,Online,869.0,57.0014844136566
Foot Locker,1185732,2021-08-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125.0,3250.0,In-store,4875.0,40.0
Foot Locker,1185732,2021-11-18,Midwest,Missouri,St. Louis,Women's Athletic Footwear,25.0,325,8125.0,3250.0,In-store,4875.0,40.0
West Gear,1185732,2021-01-11,Midwest,Missouri,St. Louis,Women's Athletic Footwear,20.0,325,6500.0,2600.0,In-store,3900.0,40.0
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Men's Athletic Footwear,25.0,325,8125.0,2844.0,In-store,5281.0,35.003076923076925
West Gear,1185732,2021-04-11,West,Utah,Salt Lake City,Women's Street Footwear,15.0,325,4875.0,1706.0,In-store,3169.0,34.9948717948718
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Women's Athletic Footwear,10.0,325,3250.0,1300.0,In-store,1950.0,40.0
West Gear,1185732,2021-09-12,West,Utah,Salt Lake City,Men's Apparel,20.0,325,6500.0,2275.0,In-store,4225.0,35.0
Amazon,1185732,2021-03-09,Midwest,Ohio,Columbus,Women's Athletic Footwear,25.0,325,8125.0,3250.0,Online,4875.0,40.0
Foot Locker,1185732,2021-02-18,South,Mississippi,Jackson,Women's Athletic Footwear,25.0,325,8125.0,3250.0,Online,4875.0,40.0
Walmart,1197831,2021-03-19,South,Arkansas,Little Rock,Men's Athletic Footwear,20.0,325,6500.0,2275.0,Online,4225.0,35.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Women's Athletic Footwear,15.0,325,4875.0,1950.0,Online,2925.0,40.0
Walmart,1197831,2021-09-19,South,Arkansas,Little Rock,Men's Apparel,25.0,325,8125.0,2844.0,Online,5281.0,35.003076923076925
West Gear,1197831,2021-02-21,South,Arkansas,Little Rock,Women's Street Footwear,15.0,325,4875.0,1950.0,Online,2925.0,40.0
Kohl's,1197831,2021-02-14,Midwest,Kansas,Wichita,Women's Apparel,20.0,325,6500.0,2275.0,Online,4225.0,35.0
Kohl's,1197831,2021-10-14,Midwest,Kansas,Wichita,Men's Athletic Footwear,20.0,325,6500.0,2275.0,Online,4225.0,35.0
West Gear,1185732,2021-03-16,Northeast,West Virginia,Charleston,Women's Street Footwear,20.0,325,6500.0,2600.0,In-store,3900.0,40.0
Foot Locker,1185732,2020-03-16,Northeast,New York,New York,Men's Street Footwear,58.0,325,1885.0,1150.0,Online,735.0,61.0079575596817
Foot Locker,1185732,2020-03-31,Northeast,New York,New York,Women's Athletic Footwear,40.0,324,1296.0,518.0,Outlet,778.0,39.96913580246913
Sports Direct,1185732,2020-05-24,Southeast,Florida,Miami,Men's Street Footwear,63.0,323,2035.0,1140.0,Online,895.0,56.01965601965602
Foot Locker,1185732,2020-01-21,Northeast,New York,New York,Women's Street Footwear,32.0,323,1034.0,393.0,Outlet,641.0,38.007736943907155
Foot Locker,1185732,2020-01-30,Northeast,New York,New York,Women's Apparel,36.0,323,1163.0,314.0,Outlet,849.0,26.99914015477214
Walmart,1197831,2020-08-19,South,Texas,Houston,Men's Athletic Footwear,33.0,323,1066.0,448.0,Outlet,618.0,42.026266416510325
Walmart,1185732,2020-05-02,Northeast,New York,New York,Women's Apparel,53.0,322,1707.0,478.0,Outlet,1229.0,28.002343292325715
West Gear,1128299,2021-02-11,West,California,San Francisco,Men's Street Footwear,40.0,322,1288.0,425.0,Outlet,863.0,32.99689440993789
Sports Direct,1197831,2021-09-18,South,Texas,Dallas,Women's Street Footwear,33.0,322,1063.0,446.0,Outlet,617.0,41.95672624647225
Sports Direct,1197831,2021-04-17,South,Tennessee,Knoxville,Women's Street Footwear,30.0,322,966.0,483.0,Outlet,483.0,50.0
Sports Direct,1197831,2021-09-08,South,Alabama,Birmingham,Women's Street Footwear,31.0,322,998.0,559.0,Outlet,439.0,56.01202404809619
West Gear,1197831,2021-11-20,South,Arkansas,Little Rock,Women's Street Footwear,25.0,320,8000.0,3200.0,Online,4800.0,40.0
Foot Locker,1185732,2020-01-02,Northeast,New York,New York,Men's Athletic Footwear,36.0,320,1152.0,403.0,Outlet,749.0,34.98263888888889
Foot Locker,1185732,2020-03-03,Northeast,New York,New York,Women's Apparel,44.0,320,1408.0,408.0,Outlet,1000.0,28.97727272727273
Foot Locker,1185732,2020-03-10,Northeast,New York,New York,Men's Street Footwear,59.0,319,1882.0,1129.0,Online,753.0,59.98937300743889
Walmart,1197831,2020-08-26,South,Texas,Houston,Women's Street Footwear,37.0,319,1180.0,531.0,Online,649.0,45.0
Foot Locker,1185732,2020-08-12,Southeast,Florida,Miami,Men's Street Footwear,43.0,319,1372.0,782.0,Online,590.0,56.99708454810496
Foot Locker,1185732,2020-03-11,Northeast,New York,New York,Men's Athletic Footwear,41.0,318,1304.0,482.0,Outlet,822.0,36.963190184049076
Foot Locker,1185732,2020-02-06,Northeast,New York,New York,Men's Street Footwear,54.0,317,1712.0,1096.0,Online,616.0,64.01869158878505
Foot Locker,1185732,2020-01-08,Northeast,New York,New York,Men's Athletic Footwear,39.0,315,1229.0,405.0,Outlet,824.0,32.95362082994304
Foot Locker,1185732,2020-01-26,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103.0,397.0,Outlet,706.0,35.99274705349048
Foot Locker,1185732,2020-02-01,Northeast,New York,New York,Men's Athletic Footwear,35.0,315,1103.0,364.0,Outlet,739.0,33.00090661831369
Foot Locker,1185732,2020-02-02,Northeast,New York,New York,Women's Street Footwear,28.0,315,882.0,335.0,Outlet,547.0,37.98185941043084
Walmart,1185732,2020-04-21,Northeast,New York,New York,Women's Street Footwear,36.0,315,1134.0,442.0,Outlet,692.0,38.97707231040564
Walmart,1185732,2020-04-23,Northeast,New York,New York,Men's Apparel,44.0,315,1386.0,513.0,Outlet,873.0,37.01298701298701
Walmart,1197831,2020-08-12,South,Texas,Houston,Men's Street Footwear,24.0,315,756.0,295.0,Outlet,461.0,39.021164021164026
Walmart,1197831,2020-09-07,South,Texas,Houston,Women's Street Footwear,36.0,315,1134.0,431.0,Outlet,703.0,38.00705467372134
Kohl's,1189833,2021-05-25,West,California,Los Angeles,Men's Street Footwear,39.0,315,1229.0,565.0,Outlet,664.0,45.97233523189585
Foot Locker,1185732,2020-01-27,Northeast,New York,New York,Women's Street Footwear,27.0,314,848.0,348.0,Outlet,500.0,41.0377358490566
Foot Locker,1185732,2020-03-18,Northeast,New York,New York,Women's Street Footwear,37.0,314,1162.0,430.0,Outlet,732.0,37.005163511187604
Sports Direct,1197831,2021-04-23,South,Tennessee,Knoxville,Women's Street Footwear,39.0,314,1225.0,576.0,Outlet,649.0,47.0204081632653
Foot Locker,1185732,2020-01-07,Northeast,New York,New York,Men's Street Footwear,46.0,313,1440.0,893.0,Online,547.0,62.01388888888889
Foot Locker,1185732,2020-03-04,Northeast,New York,New York,Men's Street Footwear,55.0,313,1722.0,1050.0,Online,672.0,60.97560975609756
Walmart,1185732,2020-05-03,Northeast,New York,New York,Men's Street Footwear,62.0,312,1934.0,1238.0,Online,696.0,64.0124095139607
Foot Locker,1185732,2021-02-07,Southeast,Georgia,Atlanta,Men's Street Footwear,38.0,312,1186.0,700.0,Online,486.0,59.02192242833052
Walmart,1185732,2020-04-28,Northeast,New York,New York,Men's Athletic Footwear,40.0,312,1248.0,449.0,Outlet,799.0,35.9775641025641
Foot Locker,1185732,2021-07-05,Southeast,South Carolina,Charleston,Men's Street Footwear,63.0,311,1959.0,1156.0,Online,803.0,59.0096988259316
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,43.0,310,1333.0,467.0,Outlet,866.0,35.033758439609905
Foot Locker,1185732,2020-03-17,Northeast,New York,New York,Men's Athletic Footwear,53.0,308,1632.0,669.0,Online,963.0,40.99264705882353
Sports Direct,1185732,2021-08-03,Southeast,North Carolina,Charlotte,Men's Street Footwear,61.0,308,1879.0,996.0,Online,883.0,53.00691857370941
Foot Locker,1185732,2020-01-05,Northeast,New York,New York,Men's Apparel,43.0,306,1316.0,487.0,Outlet,829.0,37.00607902735562
Foot Locker,1185732,2020-01-23,Northeast,New York,New York,Men's Apparel,43.0,306,1316.0,461.0,Outlet,855.0,35.03039513677811
Walmart,1185732,2020-04-22,Northeast,New York,New York,Women's Athletic Footwear,34.0,306,1040.0,406.0,Outlet,634.0,39.03846153846154
Walmart,1185732,2020-05-06,Northeast,New York,New York,Women's Athletic Footwear,41.0,306,1255.0,502.0,Outlet,753.0,40.0
Sports Direct,1197831,2020-07-31,South,Texas,Houston,Men's Street Footwear,20.0,306,612.0,257.0,Outlet,355.0,41.993464052287585
Sports Direct,1197831,2020-08-06,South,Texas,Houston,Men's Street Footwear,23.0,306,704.0,260.0,Outlet,444.0,36.93181818181818
Sports Direct,1197831,2020-08-07,South,Texas,Houston,Men's Athletic Footwear,29.0,306,887.0,364.0,Outlet,523.0,41.037204058624575
Walmart,1197831,2020-10-21,South,Texas,Houston,Men's Athletic Footwear,31.0,306,949.0,379.0,Outlet,570.0,39.93677555321391
Walmart,1197831,2020-10-31,South,Texas,Houston,Women's Apparel,41.0,306,1255.0,690.0,Outlet,565.0,54.980079681274894
West Gear,1128299,2021-01-11,West,California,San Francisco,Women's Apparel,60.0,306,1836.0,477.0,Outlet,1359.0,25.98039215686275
West Gear,1128299,2021-02-06,West,California,San Francisco,Men's Athletic Footwear,46.0,306,1408.0,282.0,Outlet,1126.0,20.02840909090909
Kohl's,1189833,2021-05-01,West,California,Los Angeles,Men's Street Footwear,36.0,306,1102.0,496.0,Outlet,606.0,45.00907441016334
Sports Direct,1197831,2021-04-14,South,Tennessee,Knoxville,Women's Apparel,37.0,306,1132.0,668.0,Outlet,464.0,59.01060070671378
West Gear,1128299,2021-07-16,South,Louisiana,New Orleans,Men's Street Footwear,62.0,306,1897.0,816.0,Outlet,1081.0,43.0152872957301
Foot Locker,1185732,2020-03-09,Northeast,New York,New York,Women's Apparel,64.0,305,1952.0,761.0,Online,1191.0,38.98565573770492
Walmart,1197831,2020-08-30,South,Texas,Houston,Men's Street Footwear,27.0,305,824.0,305.0,Outlet,519.0,37.01456310679612
Walmart,1197831,2020-08-31,South,Texas,Houston,Men's Athletic Footwear,33.0,305,1007.0,382.0,Outlet,625.0,37.93445878848063
Foot Locker,1197831,2021-08-08,West,Idaho,Boise,Women's Street Footwear,39.0,305,1190.0,511.0,Outlet,679.0,42.94117647058823
West Gear,1185732,2020-09-17,Southeast,Florida,Miami,Men's Street Footwear,60.0,304,1824.0,1040.0,Online,784.0,57.01754385964912
Walmart,1197831,2020-08-29,South,Texas,Houston,Women's Apparel,36.0,302,1087.0,565.0,Outlet,522.0,51.97792088316467
West Gear,1128299,2021-01-18,West,California,San Francisco,Men's Street Footwear,45.0,302,1359.0,544.0,Outlet,815.0,40.02943340691685
Sports Direct,1197831,2021-04-01,South,Tennessee,Knoxville,Men's Apparel,30.0,300,9000.0,3150.0,Outlet,5850.0,35.0
Sports Direct,1197831,2021-09-28,South,Alabama,Birmingham,Men's Apparel,30.0,300,9000.0,4050.0,Outlet,4950.0,45.0
Foot Locker,1185732,2021-05-19,Midwest,Missouri,St. Louis,Women's Street Footwear,30.0,300,9000.0,3150.0,In-store,5850.0,35.0
Foot Locker,1185732,2021-09-19,Midwest,Missouri,St. Louis,Women's Street Footwear,15.0,300,4500.0,1575.0,In-store,2925.0,35.0
West Gear,1185732,2021-02-11,West,Utah,Salt Lake City,Women's Athletic Footwear,20.0,300,6000.0,2400.0,In-store,3600.0,40.0
West Gear,1185732,2021-10-11,West,Utah,Salt Lake City,Women's Street Footwear,20.0,300,6000.0,2100.0,In-store,3900.0,35.0
Amazon,1185732,2021-01-22,Midwest,Ohio,Columbus,Women's Street Footwear,30.0,300,9000.0,3600.0,Online,5400.0,40.0
Foot Locker,1185732,2021-04-17,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000.0,2400.0,Online,3600.0,40.0
Sports Direct,1197831,2021-01-23,South,Mississippi,Jackson,Women's Athletic Footwear,20.0,300,6000.0,2400.0,Online,3600.0,40.0
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Men's Athletic Footwear,25.0,300,7500.0,2625.0,Online,4875.0,35.0
Walmart,1197831,2021-04-20,South,Arkansas,Little Rock,Women's Street Footwear,15.0,300,4500.0,1800.0,Online,2700.0,40.0
Walmart,1197831,2021-10-21,South,Arkansas,Little Rock,Women's Street Footwear,20.0,300,6000.0,2400.0,Online,3600.0,40.0
Kohl's,1197831,2021-11-20,South,Oklahoma,Oklahoma City,Men's Athletic Footwear,15.0,300,4500.0,1575.0,Online,2925.0,35.0
Kohl's,1197831,2021-02-14,South,Oklahoma,Oklahoma City,Women's Street Footwear,15.0,300,4500.0,1575.0,Online,2925.0,35.0
Kohl's,1197831,2021-04-13,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000.0,3150.0,Online,5850.0,35.0
Foot Locker,1197831,2021-10-14,Midwest,Kansas,Wichita,Women's Apparel,30.0,300,9000.0,3150.0,Online,5850.0,35.0
West Gear,1185732,2021-06-03,Midwest,Wisconsin,Milwaukee,Men's Athletic Footwear,30.0,300,9000.0,3150.0,In-store,5850.0,35.0
West Gear,1185732,2021-01-10,Midwest,Wisconsin,Milwaukee,Women's Street Footwear,25.0,300,7500.0,2625.0,In-store,4875.0,35.0
West Gear,1185732,2021-02-10,Midwest,Indiana,Indianapolis,Women's Apparel,20.0,300,6000.0,2400.0,In-store,3600.0,40.0
West Gear,1185732,2021-01-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,25.0,300,7500.0,3000.0,In-store,4500.0,40.0
West Gear,1185732,2021-02-17,Midwest,Indiana,Indianapolis,Women's Street Footwear,30.0,300,9000.0,3600.0,In-store,5400.0,40.0
Sports Direct,1185732,2021-01-07,Northeast,New Jersey,Newark,Women's Street Footwear,30.0,300,9000.0,2700.0,In-store,6300.0,30.0
Foot Locker,1185732,2020-01-31,Northeast,New York,New York,Men's Street Footwear,45.0,300,1350.0,837.0,Online,513.0,62.0
Walmart,1185732,2020-05-04,Northeast,New York,New York,Men's Athletic Footwear,51.0,300,1530.0,643.0,Online,887.0,42.02614379084967
West Gear,1185732,2020-04-24,Southeast,Florida,Miami,Men's Street Footwear,52.0,300,1560.0,874.0,Online,686.0,56.02564102564103
Walmart,1185732,2020-04-27,Northeast,New York,New York,Men's Street Footwear,60.0,299,1794.0,1076.0,Online,718.0,59.977703455964324
West Gear,1185732,2020-09-11,Southeast,Florida,Miami,Men's Street Footwear,60.0,299,1794.0,1076.0,Online,718.0,59.977703455964324
Walmart,1197831,2020-09-10,South,Texas,Houston,Women's Apparel,42.0,298,1252.0,713.0,Outlet,539.0,56.94888178913738
Walmart,1197831,2020-10-28,South,Texas,Houston,Women's Street Footwear,38.0,298,1132.0,430.0,Outlet,702.0,37.985865724381625
West Gear,1128299,2021-07-23,West,Oregon,Portland,Men's Street Footwear,60.0,298,1788.0,751.0,Outlet,1037.0,42.002237136465325
